antiquity,bathrooms,buildingSubtype,buildingType,clientAlias,clientType,detailUrl,floor,isNew,isNewConstruction,latitude,location_address,location_locality,location_municipality,location_zone,longitude,phone,price_amount,price_drop,propertyId,publisherId,rawPrice,realEstateAdId,rooms,subtypeId,surface,transactionTypeId,typeId
,,Flat,Flat,GRUPO 90 CENTRAL,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/els-orriols/188000986/d?from=list'},,False,False,39.49440055302875,Els Orriols, Valencia Capital,Rascanya,"Valencia, Zona de ",-0.3690691920953653,960963683,,,188000986,e9ab3da9-6a32-4b43-86bf-1e6a0d240ba1,89000,19505b42-74b6-4d8e-82f9-078cc9217204,,1,,1,2
,,Flat,Flat,Inmobiliaria Carrillo,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/ascensor/188631787/d?from=list'},,False,False,39.470486796,La Petxina, Valencia Capital,Extramurs,"Valencia, Zona de ",-0.392375133,962471457,,,188631787,98a7303e-f930-4ba7-b701-b9a89f4a82d2,265000,74a6d4ad-d8cb-487b-9460-fab82e90bfbf,,1,,1,2
,,Flat,Flat,HOGARABITAT SERVICIOS INMOBILIARIOS,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/ascensor/188750738/d?from=list'},,False,False,39.45435096093325,Malilla, Valencia Capital,Quatre Carreres,"Valencia, Zona de ",-0.37939836244963054,960964892,,,188750738,945986c6-d590-4e6a-96a3-0b833249b43a,310000,61333b10-95a5-469e-8ff6-8eb749f1f66a,,1,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-parking-ascensor-no-amueblado/188680985/d?from=list'},,False,False,39.463699596935385,Penya - Roja - Avda. Francia , Valencia Capital,Camins al Grau,"Valencia, Zona de ",-0.35764646881329876,961287313,,,188680985,809dbaef-a28a-4a7f-9011-ea337c5bf487,660000,e6bfdb14-1661-44a3-91a9-b6ac34dba1a7,,2,,1,2
,,Flat,Flat,GRUPO MONALVA,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/ascensor-no-amueblado/188668598/d?from=list'},,False,False,39.4692947,Albors, Valencia Capital,Camins al Grau,"Valencia, Zona de ",-0.3494684,962647198,,,188668598,2ae21e51-19c4-4490-9ddd-1b136488c556,239999,d6e584e4-9dbe-45cb-ad0d-513d975654ce,,1,,1,2
,,Attic,Flat,RK SIRVAL,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/parking-terraza-trastero-ascensor-piscina/188779138/d?from=list'},,False,False,39.48045969691808,Nou Campanar, Valencia Capital,Campanar,"Valencia, Zona de ",-0.4024994065710895,962649948,,,188779138,44658256-b468-46f1-8a2a-32ccd1fd165f,320000,110226cf-329a-4f81-ab35-fefd0cb2f241,,6,,1,2
,,Flat,Flat,Huspy,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/ascensor/188730003/d?from=list'},,False,False,39.4611093,Mont-Olivet, Valencia Capital,Quatre Carreres,"Valencia, Zona de ",-0.3629751,919453248,,,188730003,8aea3f8e-686c-432f-8ff1-8554ffaea498,285000,e50c2bdb-7728-4fc1-aba6-6d1503083571,,1,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-amueblado/187217028/d?from=list'},,False,False,39.4695616655932,El Pla del Remei, Valencia Capital,L'Eixample,"Valencia, Zona de ",-0.3652990606523788,961287313,,,187217028,809dbaef-a28a-4a7f-9011-ea337c5bf487,695000,f0f722a4-0f2b-4c79-82da-a3722fd07dcf,,2,,1,2
,,Flat,Flat,FUTURPISO,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-trastero-ascensor/188732411/d?from=list'},,False,False,39.47224205243077,Sant Francesc, Valencia Capital,Ciutat Vella ,"Valencia, Zona de ",-0.37681230662677556,960968301,,,188732411,eecb180e-1d63-4494-9c59-031742c111d3,990000,e0dbdd03-f805-411a-8204-3579312a7e44,,1,,1,2
,,Flat,Flat,CM PROPERTIES,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-no-amueblado/188665430/d?from=list'},,False,False,39.48428900204969,Les Tendetes - Avenida Burjassot, Valencia Capital,Campanar,"Valencia, Zona de ",-0.3875217740292014,962470759,,,188665430,8e5d8d0d-bbad-4026-b914-166ffea3eb84,239000,f29a0ed9-cef1-420c-8b65-f5a25b73fbf3,,1,,1,2
,,Flat,Flat,HOGARABITAT SERVICIOS INMOBILIARIOS,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/ascensor/188634657/d?from=list'},,False,False,39.468514102444054,Arrancapins, Valencia Capital,Extramurs,"Valencia, Zona de ",-0.39030458278065144,960964892,,,188634657,945986c6-d590-4e6a-96a3-0b833249b43a,250000,cf64560d-9599-495d-bfcf-37cf353929f8,,1,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/188634935/d?from=list'},,False,False,39.49320910110346,Torrefiel, Valencia Capital,Rascanya,"Valencia, Zona de ",-0.3772528658848633,961287313,,,188634935,809dbaef-a28a-4a7f-9011-ea337c5bf487,219000,f2bd8c25-012c-47c3-9e49-1899e3c70e80,,2,,1,2
,,Flat,Flat,Racasa Marvá,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-ascensor-amueblado/188762690/d?from=list'},,False,False,39.451576677513785,Sant Isidre, Valencia Capital,Patraix,"Valencia, Zona de ",-0.4053899360859627,+34962072852,,,188762690,4df37fd5-ccb6-45f0-af21-7f16e9d92758,345000,f0c23ef3-2d80-4c6f-9c00-91bdebecf449,,1,,1,2
,,Attic,Flat,Inmobiliaria Carrillo,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor/187150412/d?from=list'},,False,False,39.44823497435319,Malilla, Valencia Capital,Quatre Carreres,"Valencia, Zona de ",-0.38166471736443863,962471457,,,187150412,98a7303e-f930-4ba7-b701-b9a89f4a82d2,535000,6c7419fa-dd5a-472c-90b2-79e384ea1fd7,,6,,1,2
,,Flat,Flat,PINEDA LUXURY,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-terraza-ascensor/188222189/d?from=list'},,False,False,39.469264834144084,Ciutat Jardí, Valencia Capital,Algirós,"Valencia, Zona de ",-0.3449476664662971,+34653300300,,,188222189,ac891751-ab6b-4363-a1f0-e7c049c69f3e,352000,6c9dc8d3-f85d-4a80-a7ef-477bf5dcadbd,,1,,1,2
,,Loft,Flat,NEA,professional,{'es-ES': '/es/comprar/vivienda/obra-nueva/valencia-capital/20625901/188209250?from=list'},,False,True,39.49085782051732,Tormos,Valencia Capital,La Saïdia,"Valencia, Zona de",-0.37665767898271096,+34681093136,,,188209250,6271fbb9-86f5-4c0d-8c93-f6d8e29cbadb,270000,8a997a7d-3ae3-44af-aa2a-cd9f9085406a,,8,,1,2
,,Flat,Flat,INFOAREA,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-terraza-ascensor-amueblado/188274852/d?from=list'},,False,False,39.456141495072906,En Corts - Doctor Waksman , Valencia Capital,Quatre Carreres,"Valencia, Zona de ",-0.3727317301896911,960960578,,,188274852,37d8741c-ed90-4b1c-97ef-995123caf692,265000,2f792356-12b0-48ba-9339-f32704b1f05c,,1,,1,2
,,Flat,Flat,LA CASA AGENCY SANT ANDREU,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/terraza-ascensor/188750923/d?from=list'},,False,False,39.49738590573867,Torrefiel, Valencia Capital,Rascanya,"Valencia, Zona de ",-0.37383414722766295,+34930376170,,,188750923,31423333-556d-4129-965e-0964d66e079d,209000,351b09f0-5cde-4fcb-b91d-16d9569b7577,,1,,1,2
,,Flat,Flat,ALAIN GRUPO ,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/jardin-terraza-trastero-ascensor-patio/188095138/d?from=list'},,False,False,39.358879174799625,El Saler, Valencia Capital,Pobles del Sud,"Valencia, Zona de ",-0.3197734251345466,961281893,,,188095138,f33d502b-281f-49ef-8fc3-eb7a739fae4e,290000,052f119c-59a6-4750-b043-6cee440571b5,,1,,1,2

